"","X","Stationidentifier","Stationnumber","Observationtime","Stationlatitude","Stationlongitude","Stationelevation","Showalterindex","Liftedindex","LIFTcomputedusingvirtualtemperature","SWEATindex","Kindex","Crosstotalsindex","Verticaltotalsindex","Totalstotalsindex","ConvectiveAvailablePotentialEnergy","CAPEusingvirtualtemperature","ConvectiveInhibition","CINSusingvirtualtemperature","EquilibrumLevel","EquilibrumLevelusingvirtualtemperature","LevelofFreeConvection","LFCTusingvirtualtemperature","BulkRichardsonNumber","BulkRichardsonNumberusingCAPV","Temp.K.oftheLiftedCondensationLevel","Pres.hPa.oftheLiftedCondensationLevel","Meanmixedlayerpotentialtemperature","Meanmixedlayermixingratio","X1000hPato500hPathickness","Precipitablewater.mm.forentiresounding","TS"
"774",1,"YBBN",94578,"140112/0000",-27.38,153.13,5,4.02,3.49,3.22,172.19,18.6,19.4,20.5,39.9,0.03,0.3,-28.71,-21.5,800.54,799.73,808.1,816.61,0,0.03,286.98,893.71,296.36,11.27,5687,30.99,0
"775",1,"YBBN",94578,"140113/0000",-27.38,153.13,5,6.06,5.03,4.6,175.41,15.2,17.6,19.5,37.1,3.25,5.13,-18.15,-14.15,793.52,793.01,824.37,831.74,0.59,0.93,285.21,870.43,296.76,10.28,5671,28.95,0
"776",1,"YBBN",94578,"140114/0000",-27.38,153.13,5,9.7,4.54,4.1,133.82,-3.9,12.7,19.7,32.4,9.83,18.24,-16.05,-5.13,786.76,782.06,825.26,851.9,1.06,1.97,286.38,881,296.95,10.98,5708,25.51,0
"777",1,"YBBN",94578,"140115/0000",-27.38,153.13,5,4.8,1.79,1.32,158,5.6,18.6,21.1,39.7,25.96,45.14,-12.19,-8.57,396.24,392.17,858.31,882.97,6.75,11.73,288.19,908.56,296.21,12.03,5704,28.3,0
"778",1,"YBBN",94578,"140118/0000",-27.38,153.13,5,5.01,1.62,1.11,140.39,-1.4,17.8,21.9,39.7,18.41,30.13,-30.54,-16.46,778.22,774.67,842.87,855.25,49.46,80.92,287.32,886.1,297.43,11.61,5692,24.52,0
"779",1,"YBBN",94578,"140119/0000",-27.38,153.13,5,2.63,0.36,-0.14,146.39,1.2,20.2,23.5,43.7,3.82,12.67,-18.71,-11.88,449.43,444.16,832.45,841.46,0.5,1.67,287.09,882.93,297.5,11.48,5706,25.39,0
"780",1,"YBBN",94578,"140120/0000",-27.38,153.13,5,3.54,0.09,-0.52,105.99,19.9,15.9,26.9,42.8,64.68,123.66,-283.12,-200.93,300.18,299.1,596.54,641,2.01,3.85,288.06,877.82,299.01,12.31,5719,30.54,0
"781",1,"YBBN",94578,"140121/0000",-27.38,153.13,5,1.31,-0.23,-0.8,151.21,28.9,17.3,28.3,45.6,250.01,316,-498.43,-420.45,309.94,309,629.63,637.3,21.36,26.99,289.67,892.79,299.22,13.43,5765,36.52,0
"782",1,"YBBN",94578,"140122/0000",-27.38,153.13,5,1.49,-2.82,-3.4,143.41,28.7,16.5,29.5,46,735.95,828.27,-363.85,-283.03,223.94,223.89,666.07,679.82,1713.82,1928.79,290.81,889.59,300.71,14.53,5769,40.34,1
"783",1,"YBBN",94578,"140124/0000",-27.38,153.13,5,3.12,2.27,1.59,208.02,32.1,19.3,19.5,38.8,62.3,98.68,-9.08,-7.47,568.05,563.94,911.8,914.15,8.92,14.13,291.5,939.32,296.78,14.36,5714,46.89,0
